ชื่อสถานประกอบการ(ภาษาไทย),ชื่อสถานประกอบการ(ภาษาอังกฤษ),ที่ตั้ง,จังหวัด,สายการเรียน,ประเภทของสถานประกอบการ,ความร่วมมือ,ช่องทางการติดต่อ,เบอร์โทร,อีเมล,Social Media,Social media(line),website,ตำแหน่งที่ฝึก,Benefit,รายละเอียดเพิ่มเติม,link ภาพ
โรงไฟฟ้าวังน้อย,Wang Noi Power Plant,32 หมู่ 4 ต.วังจุฬา อ.วังน้อย จ.พระนครศรีอยุธยา 13170,,database,รัฐวิสาหกิจ,,ผู้อำนวยการโรงไฟฟ้าวังน้อย ,02-436-8747,phiriya.s@egat.co.th,https://internship.egat.co.th/hr/hrbp/internship.html,,https://wangnoi.egat.co.th/,,,,กฟผ.
กองบริหารสารสนเทศ สำนักประธานคณะกรรมการบริหารฯ มูลนิธิวัดพระธรรมกาย,"Information Management Division, Office of the Chairman of the Executive Committee, Dhammakaya Foundation",40 หมู่ 8 ตำบลคลองสอง อำเภอคลองหลวง จ.ปทุมธานี 12120,,database,เอกชน,,,,,https://www.facebook.com/dhammakayafoundation/?locale=th_TH,,https://www.dhammakaya.net/,,,,ธรรมกาย
บริษัท ฝาจีบ จำกัด (มหาชน),CROWN SEAL PUBLIC COMPANY LIMITED,5 ซอยรังสิต-นครนายก 46 ตำบลประชาธิปัตย์ อำเภอธัญบุรี จ.ปทุมธานี 12130,,dont know,เอกชน,,,02-533-0450 ต่อ 578,wanida@crownseal.co.th,,,https://crownseal.co.th/,,,,ฝาจีบ
"บริษัท เอ โฮสต์ จำกัด","A-HOST CO., LTD.",979/52-55 อาคารเอส เอ็ม ทาวเวอร์ ชั้นที่ 21 ถนนพหลโยธิน แขวงพญาไท เขตพญาไท กรุงเทพมหานคร 10400,,both,เอกชน,,,02-298-0625 ต่อ 1102,premsinee@a-host.co.th,https://www.facebook.com/AHOSTGROUP/?locale=th_TH,,https://www.a-host.co.th/,"- ERP
- BI&DATA Warehouse
- Web Application
- Mobile Application(IOS&Android)
- Cloud and System Engineer
- Database Consultant and Adminisiator",เบี้ยเลี้ยง 150 บาท,,AHOST
บริษัท สำนักพิมพ์ เอมพันธ์ จำกัด (ฝ่ายการตลาด ฝ่ายผลิต และจัดส่ง),"AIMPHAN PRESS CO., LTD.",69/109  หมู่ 1 ต.บ้านใหม่ อ.ปากเกร็ด  จ.นนทบุรี 11120,,dont know,เอกชน,,,"- 02-582-2314
- 02-582-2315",,https://www.facebook.com/AimphanpressAP/,,https://aimphan.co.th/,,,,Aimphan
กองบัญชาการกรมควบคุมการปฏิบัติทางอากาศ,Air Operations Control Command,กองบัญชาการควบคุมการปฏิบัติทางอากาศ แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,dont know,รัฐบาล,นอก MOU,ผู้บัญชาการกรมควบคุมการปฏิบัติทางอากาศ ,02-534-6720,,,,https://aocc.rtaf.mi.th/,,,,AirOperations
บริษัท ไอชิน ทากาโอกะ เอเชีย จำกัด,AISIN TAKAOKA ASIA COMPANY LIMITED,101/90 นิคมอุตสาหกรรมนวนคร ตำบลคลองหนึ่ง อำเภอคลองหลวง จังหวัดปทุมธานี 10120,,Network,เอกชน,,,,,https://www.facebook.com/ATTGCareer/,,https://www.attg.co.th/index.php,,,,AISIN
บริษัท แอ็ดวานซ์ อินฟอร์เมชั่น เทคโนโลยี จำกัด (มหาชน),ADVANCED INFORMATION TECHNOLOGY PUBLIC COMPANY LIMITED,37/2 ถนนสุทธิสารวินิจฉัย แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,Network,เอกชน,นอก MOU,หัวหน้าฝ่ายบริหารทรัพยากรบุคคล ,02-275-9400,hr@ait.co.th,https://www.facebook.com/@AITPCL/?locale=th_TH,,https://www.ait.co.th/home/,,,,AIT
บริษัท ออลไรท์ คอมบิเนชั่น เซ็นทริก จำกัด,ALRIGHT COMBINATION CENTRIC COMPANY LIMITED,13 ซอยอินทามระ 36 แขวงรัชดาภิเษก เขตดินแดง กรุงเทพมหานคร 10400,,Network,เอกชน,นอก MOU,หัวหน้าฝ่ายทรัพยากรบุคคล,"062-277-5517
062-060-7882",hr@alcc.co.th,https://www.facebook.com/ALCCBKK/?locale=th_TH,,https://www.alcc.co.th/,,,,Alright
อาไรซ์ คอร์ปอเรชั่น จำกัด สำนักงานใหญ่,ARISE CORPORATION COMPANY LIMITED,5/37 ถ.เทศบาลสงเคราะห์. ลาดยาว จตุจักร กรุงเทพมหานคร 10900,,database,เอกชน,นอก MOU,,084-459-6256,admin@arisecorpn.com,,,,Software Developer,,,Arise
